Country Name,Expense (% of GDP),Gross domestic income (constant LCU),Land area (sq. km),"Life expectancy at birth, total (years)",Population density (people per sq. km of land area),"Population, female","Population, male","Population, total","Revenue, excluding grants (% of GDP)"
Afghanistan,40.871971837749,,652860.0,63.763000000000005,54.197114235823896,17196083.0,18187045.0,35383128.0,11.7974188681463
Albania,23.9567294338323,1377117464082.28,27400.0,78.194,104.967189781022,1410814.0,1465287.0,2876101.0,24.2785737521554
Algeria,,6633909677250.52,2381740.0,76.298,17.0259574932612,20069500.0,20481904.0,40551404.0,
American Samoa,,553813880.126183,200.0,,278.705,,,55741.0,
Andorra,,,470.0,,164.46170212766,,,77297.0,
Angola,17.5116635351029,1435193444556.65,1246700.0,59.925,23.1350637683484,14576128.0,14266356.0,28842484.0,15.7207689732106
Antigua and Barbuda,,,440.0,76.617,214.834090909091,49006.0,45521.0,94527.0,
Arab World,,,11232647.0079041,71.4364968350268,35.9687643273844,194903052.0,209121381.0,404024433.0,
Argentina,26.1799164832469,736387011118.893,2736690.0,76.221,15.928135082892098,22344847.0,21245521.0,43590368.0,21.2567013071388
Armenia,25.7115181584805,4440552575912.61,28470.0,74.64,103.131225851774,1555132.0,1381014.0,2936146.0,22.834728889317304
Aruba,,,180.0,75.868,582.622222222222,55048.0,49824.0,104872.0,
Australia,26.9183083815135,1679846493804.13,7692020.0,82.44878048780491,3.14493553058884,12141288.0,12049619.0,24190907.0,24.8077856656021
Austria,45.1839908303893,319688333644.022,82522.998046875,81.6414634146342,105.869493435483,4453787.0,4282881.0,8736668.0,43.7087562825697
Azerbaijan,27.195938118533302,,82670.0,72.493,118.03328898028299,4898038.0,4859774.0,9757812.0,34.919867869696695
"Bahamas, The",16.898629928709,11161758037.4837,10010.0,73.329,37.7553446553447,194450.0,183481.0,377931.0,16.283381677197
Bahrain,,10886761278.9598,778.000030517578,76.899,1832.6361749002301,538854.0,886937.0,1425791.0,
Bangladesh,9.418916280730409,8645601650995.7,130170.0,71.785,1213.57332718752,77925128.0,80045712.0,157970840.0,10.209572719473199
Barbados,,,430.0,78.888,664.641860465116,147895.0,137901.0,285796.0,
Belarus,29.417053797115503,68579368764.5597,202988.0078125,73.8268292682927,46.808351401608704,5079571.0,4421963.0,9501534.0,28.9426479589148
Belgium,41.248648448780706,392235899233.884,30280.0,81.4390243902439,374.221334214003,5753945.0,5577477.0,11331422.0,38.52394945227879
Belize,26.3692303811551,2794109762.6592,22810.0,74.219,16.1508110477861,184648.0,183752.0,368400.0,27.771805977736395
Benin,,4110259045526.43,112760.0,60.885,96.4177633912735,5451500.0,5420567.0,10872067.0,
Bermuda,,,54.000000953674295,81.2270731707317,1195.46294185033,,,64555.0,
Bhutan,18.613777857696398,64084360013.3016,38143.9990234375,70.781,19.3138899659506,347497.0,389212.0,736709.0,18.1942902403042
Bolivia,,42543153806.861,1083300.0,70.626,10.1835253392412,5488501.0,5543312.0,11031813.0,
Bosnia and Herzegovina,35.3219267006326,28153466627.5632,51200.0,76.998,66.13802734375,1726542.0,1659725.0,3386267.0,38.1410245470465
Botswana,25.81620239242,100017047114.988,566730.0,68.178,3.8112399202442098,1120221.0,1039723.0,2159944.0,33.5210188334329
Brazil,35.6877590102436,3918773805072.06,8358140.0,75.23,24.6661407920901,104712865.0,101450193.0,206163058.0,28.8902142221448
British Virgin Islands,,,150.0,,195.7,,,29355.0,
Brunei Darussalam,,15783759782.686,5270.0,75.45,79.65844402277041,201419.0,218381.0,419800.0,
Bulgaria,32.433642834378,87805562826.6397,108560.0,74.8121951219512,65.6579034635225,3662344.0,3465478.0,7127822.0,32.3665452034421
