,ISO_code,countries,hf_score,hf_rank,hf_quartile
0,ALB,Albania,7.568140288038345,48.0,2.0
1,DZA,Algeria,5.135886054578316,155.0,4.0
2,AGO,Angola,5.6406621820650935,142.0,4.0
3,ARG,Argentina,6.469847841206622,107.0,3.0
4,ARM,Armenia,7.24140180098087,57.0,2.0
5,AUS,Australia,8.582219226561921,4.0,1.0
6,AUT,Austria,8.413474200350242,16.0,1.0
7,AZE,Azerbaijan,6.0832767390542175,130.0,4.0
8,BHS,Bahamas,7.397268922980355,50.0,2.0
9,BHR,Bahrain,6.8480349969915695,75.0,2.0
10,BGD,Bangladesh,5.801300179058979,138.0,4.0
11,BRD,Barbados,7.068447232454741,67.0,2.0
12,BLR,Belarus,6.144514081698227,128.0,4.0
13,BEL,Belgium,8.153589293338264,27.0,1.0
14,BLZ,Belize,7.14543191780109,64.0,2.0
15,BEN,Benin,6.738488147301206,90.0,3.0
16,BTN,Bhutan,6.810486407316732,83.0,3.0
17,BOL,Bolivia,6.718385007366803,92.0,3.0
18,BIH,Bosnia and Herzegovina,7.230723572455831,59.0,2.0
19,BWA,Botswana,7.153167226396032,64.0,2.0
20,BRA,Brazil,6.207988703033383,123.0,4.0
21,BRN,Brunei Darussalam,5.79684985920782,138.0,4.0
22,BGR,Bulgaria,7.782769538446819,41.0,1.0
23,BFA,Burkina Faso,6.752669834869546,88.0,3.0
24,BDI,Burundi,5.167067213258566,154.0,4.0
25,KHM,Cambodia,7.20422414315188,61.0,2.0
26,CMR,Cameroon,5.575387155453581,144.0,4.0
27,CAN,Canada,8.565863321133785,5.0,1.0
28,CPV,Cape Verde,7.333291533136117,53.0,2.0
29,CAF,Central Afr. Rep.,5.287816196750414,152.0,4.0
30,TCD,Chad,5.474770534899752,147.0,4.0
31,CHL,Chile,8.008017670444293,32.0,1.0
32,CHN,China,5.9054101692930026,135.0,4.0
33,COL,Colombia,6.760756636656844,87.0,3.0
34,COD,"Congo, Dem. R.",5.308628393164974,151.0,4.0
35,COG,"Congo, Rep. Of",5.898933846821804,136.0,4.0
36,CRI,Costa Rica,7.857714484280264,37.0,1.0
37,CIV,Cote d'Ivoire,6.531271024169963,100.0,3.0
38,HRV,Croatia,7.70808787576958,44.0,2.0
39,CYP,Cyprus,8.112196958149504,30.0,1.0
40,CZE,Czech Rep.,8.294880707097732,21.0,1.0
41,DNK,Denmark,8.547819984581189,6.0,1.0
42,DOM,Dominican Rep.,7.061287480847493,69.0,2.0
43,ECU,Ecuador,6.805277679735818,83.0,3.0
44,EGY,Egypt,4.807276886404086,156.0,4.0
45,SLV,El Salvador,7.0339509907451605,70.0,2.0
46,EST,Estonia,8.436850609136455,14.0,1.0
47,ETH,Ethiopia,5.39704497053488,150.0,4.0
48,FJI,Fiji,7.29110219730927,55.0,2.0
49,FIN,Finland,8.472183958323601,10.0,1.0
50,FRA,France,8.008401463522132,32.0,1.0
51,GAB,Gabon,5.577787611198135,144.0,4.0
52,GMB,"Gambia, The",6.321342350813025,115.0,3.0
53,GEO,Georgia,7.798267753420233,40.0,1.0
54,DEU,Germany,8.462595688841347,13.0,1.0
55,GHA,Ghana,7.236088907605318,57.0,2.0
56,GRC,Greece,7.203384074842112,61.0,2.0
57,GTM,Guatemala,7.094122990993839,66.0,2.0
58,GIN,Guinea,5.650600803375911,141.0,4.0
59,GNB,Guinea-Bissau,6.0548608621644116,133.0,4.0
60,GUY,Guyana,6.675897936464143,96.0,3.0
61,HTI,Haiti,6.847221294048332,75.0,2.0
62,HND,Honduras,6.723241298495685,92.0,3.0
63,HKG,Hong Kong,8.776839795677336,3.0,1.0
64,HUN,Hungary,7.739472886639173,42.0,2.0
65,ISL,Iceland,8.151753108119564,27.0,1.0
66,IND,India,6.412935667565911,110.0,3.0
67,IDN,Indonesia,6.770656230072359,85.0,3.0
68,IRN,Iran,5.281224622616151,153.0,4.0
69,IRQ,Iraq,4.258013810124468,159.0,4.0
70,IRL,Ireland,8.504564702191953,8.0,1.0
71,ISR,Israel,7.517458071025448,49.0,2.0
72,ITA,Italy,7.980223158735742,34.0,1.0
73,JAM,Jamaica,7.224208046322468,60.0,2.0
74,JPN,Japan,8.10188527514284,31.0,1.0
75,JOR,Jordan,6.8493332584160935,75.0,2.0
76,KAZ,Kazakhstan,6.742837772269172,90.0,3.0
77,KEN,Kenya,6.8227683452349535,82.0,2.0
78,KOR,"Korea, South",8.148174928775408,27.0,1.0
79,KWT,Kuwait,6.1902872372263875,124.0,4.0
80,KGZ,Kyrgyz Republic,6.588506477229807,99.0,3.0
81,LAO,Laos,6.3867930853847215,113.0,3.0
82,LVA,Latvia,8.24553404210736,23.0,1.0
83,LBN,Lebanon,6.709997089613855,95.0,3.0
84,LSO,Lesotho,6.534221980106005,100.0,3.0
